recipe_name,ingredients,category,preparation,texture,ingredients_array,ingredient_count,serving_size_g,calories,protein_g,iron_mg,texture_raw,texture_tag_aligned,min_age_months,max_age_months,omit_or_reduce_items,modification_required,fhb_safe,fhb_guideline_id
Well-mashed Rice,"rice, expressed breast milk",Main,Boil and mash,smooth_puree,"['rice', 'breast_milk']",2,100.0,97.5,1.9,0.12,smooth_puree,smooth_puree,6,7,[],False,True,FHB_6_MONTHS
Dhal Puree,"red lentils, turmeric, water",Main,Boil and blend,smooth_puree,"['red_lentils', 'turmeric', 'water']",3,100.0,142.7,6.2,14.9,smooth_puree,smooth_puree,6,7,[],False,True,FHB_6_MONTHS
Mashed Pumpkin,"pumpkin, coconut milk",Vegetable,Steam and mash,smooth_puree,"['pumpkin', 'coconut_milk']",2,100.0,128.0,1.6,2.05,smooth_puree,smooth_puree,6,7,[],False,True,FHB_6_MONTHS
Carrot Mash,"carrot, water",Vegetable,Boil and mash,smooth_puree,"['carrot', 'water']",2,100.0,17.5,0.4,0.15,smooth_puree,smooth_puree,6,7,[],False,True,FHB_6_MONTHS
Papaya Puree,ripe papaya,Fruit,Mash with fork,smooth_puree,['papaya'],1,100.0,43.0,0.5,0.25,smooth_puree,smooth_puree,6,7,[],False,True,FHB_6_MONTHS
Banana Mash,ripe ambul banana,Fruit,Mash with fork,smooth_puree,['ripe ambul banana'],1,100.0,89.0,1.1,0.3,smooth_puree,smooth_puree,6,7,[],False,True,FHB_6_MONTHS
Avocado Cream,"ripe avocado, breast milk",Fruit,Mash,smooth_puree,"['avocado', 'breast_milk']",2,100.0,112.5,1.5,0.29,smooth_puree,smooth_puree,6,7,[],False,True,FHB_6_MONTHS
Rice and Dhal Mix,"rice, red lentils, carrot",Main,Boil together and mash,well_mashed,"['rice', 'red_lentils', 'carrot']",3,100.0,93.7,4.2,1.27,well_mashed,well_mashed,6,9,[],False,True,FHB_6_MONTHS
Sprats Powder Rice,"rice, dried sprats powder, pumpkin",Main,Boil and mash,well_mashed,"['rice', 'dried sprats powder', 'pumpkin']",3,100.0,78.0,1.9,0.5,well_mashed,well_mashed,6,9,[],False,True,FHB_6_MONTHS
Fish and Rice Mash,"rice, thalapath fish, gotukola",Main,Boil and mash,well_mashed,"['rice', 'fish', 'gotukola']",3,100.0,83.7,8.4,1.37,well_mashed,well_mashed,6,9,[],False,True,FHB_6_MONTHS
Sweet Potato Mash,"sweet potato, coconut milk",Vegetable,Boil and mash,well_mashed,"['sweet_potato', 'coconut_milk']",2,100.0,160.0,2.1,2.0,well_mashed,well_mashed,6,9,[],False,True,FHB_6_MONTHS
